,Name,Authors,Rating,ISBN,PublishYear,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,no_pages,genre1,genre2,final genre
175,The Scarlet Letter,Nathaniel Hawthorne,3.4,0142437263,2003,123915,201546,217751,93880,41267,678359,10527,279,Fiction,Puritans,Biography/Historical
176,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.64,0440241413,2003,171526,189264,172553,61310,33331,627984,10128,368,Fiction,Young women,Romance
177,Girl with a Pearl Earring,Tracy Chevalier,3.88,0452284937,2003,184186,226792,142796,33032,15375,602181,128,233,Social life and customs,Fiction,Biography/Historical
178,Middlesex,Jeffrey Eugenides,4,0312422156,2003,226695,191208,97845,32704,20373,568825,19666,529,Intersexuality,Greek Americans,Biography/Historical
179,The Five People You Meet in Heaven,Mitch Albom,3.93,1401308589,2003,201364,183208,122270,37164,13885,557891,16745,196,Rainforests,prisoners of war,Fantasy/Adventure
180,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,1892065290,2002,1202034,527881,152189,40176,30726,1953006,3,776,Action & Adventure,American Fantasy fiction,Fantasy/Adventure
181,Of Mice and Men,John Steinbeck,3.87,0142000671,2002,601885,651494,421129,128601,54005,1857114,25882,103,contemporary fiction,literary fiction,Biography/Historical
182,Charlotte's Web,E.B. White,4.17,0807208523,2002,632168,419192,226335,49878,24975,1352548,62,4,Farm life,Animals,Humor/Family
183,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,0821925326,2002,412718,317628,193467,60867,32628,1017308,6,250,Love,sci-fi,Fantasy/Adventure
184,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,0553381695,2002,407897,269146,67867,9071,2919,756900,16641,969,Fantasy fiction,Fiction,Fantasy/Adventure
185,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,0553381709,2002,415910,181468,44538,6175,2377,650468,583,973,New York Times bestseller,nyt:mass_market_paperback=2011-06-04,Fantasy/Adventure
186,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.31,,2002,338238,181026,68854,20166,11378,619662,25820,976,,,Biography/Historical
187,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.26,,2002,240937,159454,70762,14255,4677,490085,8220,767,,,Fantasy/Adventure
188,Atonement,Ian McEwan,3.9,0786239212,2002,140800,156491,87645,28337,12627,425900,13,613,historical romance,Dunkirk Evacuation,Biography/Historical
189,The Magician's Nephew (The Chronicles of Narnia #1),C.S. Lewis,4.04,,2002,150317,136830,86087,17781,4184,395199,16,221,,,Fantasy/Adventure
190,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,4.47,0747554560,2001,4299044,1522634,570548,131041,108954,6632221,82,224,Ghosts,Monsters,Fantasy/Adventure
191,The Little Prince & Letter to a Hostage,Antoine de Saint-Exupéry,4.31,0141185627,2001,702931,325251,157736,45940,22218,1254076,48,160,,,Poetry/Novel
192,The Secret Life of Bees,Sue Monk Kidd,4.05,1565115392,2001,412425,400047,205161,49038,18799,1085470,169,8,Teenage girls,Fiction,Biography/Historical
193,American Gods,Neil Gaiman,4.11,0060010606,2001,309006,246921,116082,35044,14340,721393,169,635,science fiction,fantasy fiction,Fantasy/Adventure
194,Good Omens,Terry Pratchett,4.25,0441008615,2001,257762,161286,70761,17693,8247,515749,88,368,End of the world,Humorous,Fantasy/Adventure
195,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.96,0441008534,2001,179874,160916,104410,27936,12595,485731,14801,292,Vampires,Cocktail servers,Horror/Thriller
196,Speak,Laurie Halse Anderson,4.02,014131088X,2001,186234,158098,92984,25720,10713,473749,18321,202,Children's fiction,"Interpersonal relations, fiction",Biography/Historical
197,"One For The Money (Stephanie Plum, #1)",Janet Evanovich,4.04,0061009059,2001,190459,153134,92112,23027,11262,469994,90,287,Women detectives,Detective and mystery stories,Suspense/Mystery
198,Pet Sematary,Stephen King,3.99,0613592476,2001,142073,142196,89459,20308,5664,399700,7,562,,,Horror/Thriller
199,Treasure Island,Robert Louis Stevenson,3.83,0753453800,2001,106542,140643,103624,23087,6826,380722,6859,311,Fiction,Treasure Island (Imaginary place),Fantasy/Adventure
200,Pride and Prejudice,Jane Austen,4.26,,2000,1514553,771789,354619,108247,72300,2821508,42165,279,,,Romance
201,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.42,0786222735,2000,1543545,721148,293286,50048,12269,2620296,15,464,Fantasy fiction,school stories,Fantasy/Adventure
202,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,0807282588,2000,1662389,620163,181600,24849,9855,2498856,12,20,orphans,foster homes,Fantasy/Adventure
203,Dracula,Bram Stoker,3.99,0679602291,2000,325865,312646,188737,46109,16550,889907,16,418,Count Dracula (Fictitious character),"Dracula, Conde (Personaje literario)",Horror/Thriller
204,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.97,0316316962,2000,233391,243680,131401,31981,19377,659830,135,279,Contagion (Social psychology),Business,Self-Help
205,Me Talk Pretty One Day,David Sedaris,3.99,0316777722,2000,234286,205768,107535,33251,22478,603318,185,272,David Sedaris,teens,Humor/Family
206,Cancion de Navidad / A Christmas Carol,Charles Dickens,4.06,8495311151,2000,235184,204210,118842,27504,9488,595228,1,123,Ghost stories,Readers,Biography/Historical
207,The Firm,Robin Waterfield,4.02,0582418275,2000,187714,211261,119082,21410,5713,545180,3388,76,Fiction,Organized crime,Suspense/Mystery
208,"The Annotated Alice: Alice's Adventures In Wonderland; And, Through The Looking Glass",Lewis Carroll,4.07,0713994177,2000,178244,150542,89221,20441,6401,444849,0,334,,,Fantasy/Adventure
209,"Rich Dad, Poor Dad: What the Rich Teach Their Kids about Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,4.07,0964385619,2000,145880,106334,57980,18214,9354,337762,25,184,Rich people,Personal Finance,Self-Help
210,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.36,0618002227,1999,1322790,596210,237674,65454,46095,2268223,467,407,Elves,Dwarves,Fantasy/Adventure
211,Memoirs Of A Geisha,Arthur Golden,4.12,0754012484,1999,694410,604120,290819,65476,26378,1681203,0,656,"Japan, fiction","Fiction, historical",Biography/Historical
212,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,3.98,0345916409,1999,491145,390609,235705,73866,43518,1234843,55,351,Political theology,Polar bears,Fantasy/Adventure
213,The Perks of Being a Wallflower,Stephen Chbosky,4.2,0613237528,1999,581218,379244,182140,48951,18793,1210346,35,224,Young adult fiction,Bildungsroman,Biography/Historical
214,Gone with the Wind,Margaret Mitchell,4.3,0446675539,1999,582952,267823,130052,37665,23239,1041731,15459,1037,survival,slavery,Romance
215,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.77,014028009X,1999,255445,290416,220400,65411,32990,864662,7479,288,single women,Diary fiction,Romance
216,The Poisonwood Bible,Barbara Kingsolver,4.06,0060930535,1999,280813,199339,102080,36289,22697,641218,839,546,Missionaries,Fiction,Biography/Historical
217,Angela's Ashes,Frank McCourt,4.11,068487217X,1999,215191,187664,85910,21754,9778,520297,346,460,Irish Americans,Irlandeses-americanos,Biography/Historical
218,Love in the Time of Cholera,Gabriel García Márquez,3.92,0140281649,1999,139293,133151,77462,27746,13007,390659,40,368,Fiction,Vida familiar,Romance
219,Atlas Shrugged,Ayn Rand,3.69,0452011876,1999,123585,90951,61997,31732,35341,343606,14821,1168,Fiction,Capitalism in fiction,Biography/Historical
220,"Outlander (Outlander, #1)",Diana Gabaldon,4.23,0385319959,1998,431678,198975,96266,36246,27142,790307,680,627,Man-woman relationships,Historical fiction,Romance
221,Into Thin Air,Jon Krakauer,4.17,0965078493,1998,166041,137301,52607,11357,8543,375849,0,410,History,Adventure Consultants. Guided Expedition (1996 : Mount Everest),Biography/Historical
222,Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,3.98,0590920685,1998,141593,119831,84933,21098,7143,374598,8850,232,fiction,Juvenile Fiction - Fairy Tales & Folklore - Adaptations,Fantasy/Adventure
223,A Walk in the Woods,Bill Bryson,4.06,0553455923,1998,124872,132898,63584,13196,4859,339409,130,10,Description and travel,Natural history,Biography/Historical
224,"Prince Caspian (Chronicles of Narnia, #4)",C.S. Lewis,3.98,0261670492,1998,110638,124014,81064,14408,2898,333022,37,190,Fantasy,Narnia (Imaginary place),Fantasy/Adventure
225,Under The Tuscan Sun - At Home In Italy,Frances Mayes,3.76,0767902807,1998,90287,103609,80428,24151,12446,310921,172,291,Social life and customs,Italian Cooking,Biography/Historical
226,She's Come Undone,Wally Lamb,3.88,0671021001,1998,105343,104061,66012,21843,11071,308330,9145,465,Self-perception,Fiction,Biography/Historical
227,"Killing Floor (Jack Reacher, #1)",Lee Child,4.05,0515123447,1998,87608,93155,45158,9393,3666,238980,122,407,Fiction,Private investigators,Suspense/Mystery
228,Where the Heart Is,Billie Letts,4.02,0446672211,1998,81927,86867,51145,9432,2221,231592,3431,376,Fiction,Friendship,Humor/Family
229,The Trial,Franz Kafka,3.97,0140186220,1998,79268,80324,43518,12853,5238,221201,12,178,Fiction,Alegorical fiction,Suspense/Mystery
230,Into the Wild,Jon Krakauer,3.98,0385486804,1997,301990,308997,162842,42497,23204,839530,18404,207,Adventure and adventurers,Travelers,Biography/Historical
231,Adventures of Tom Sawyer,Mark Twain,3.91,0816725470,1997,239744,268938,173278,41997,15724,739681,6,314,The Adventures of Tom Sawyer,Mark Twain,Humor/Family
232,Cien años de soledad,Gabriel García Márquez,4.08,9580439877,1997,350049,196519,108247,45315,31723,731853,1,488,Spanish language books,Fiction,Biography/Historical
233,Neverwhere,Neil Gaiman,4.17,0380973634,1997,175707,152161,63061,13400,4882,409211,258,248,Fiction,Underground areas,Fantasy/Adventure
234,Into Thin Air: A Personal Account Of The Everest Disaster,Jon Krakauer,4.18,033371752X,1997,170124,139716,53221,11452,8576,383089,8,293,Mountaineering accidents,"Everest, mount (china and nepal)",Biography/Historical
235,A Brief History of Time: From the Big Bang to Black Holes,Stephen Hawking,4.18,0553173251,1997,124401,105817,43256,8695,4311,286480,6,224,Espace et temps,Cosmologia,Self-Help
236,Naked,David Sedaris,4.09,0316779490,1997,88498,91129,41149,8068,3294,232138,46,291,Social life and customs,Humor,Humor/Family
237,The God of Small Things,Arundhati Roy,3.94,0060977493,1997,83725,77853,45865,15440,7084,229967,732,321,Literary Fiction,Women's Fiction,Biography/Historical
238,Batman: Year One,Frank Miller,4.22,0930289331,1997,100325,62195,26260,6608,5674,201062,41,104,"Batman (fictitious character), fiction","Fiction, fantasy, general",Fantasy/Adventure
239,"Wizard and Glass (The Dark Tower, #4)",Stephen King,4.25,0340696613,1997,77277,52142,22592,5203,1510,158724,22,687,crystal balls,parallel universes,Fantasy/Adventure
240,The Notebook,Nicholas Sparks,4.1,0446520802,1996,608761,349967,201874,71238,46056,1277896,259,214,Man-woman relationships,Fiction,Romance
241,Wuthering Heights,Emily Brontë,3.85,0140434186,1996,456212,391895,267188,102963,56937,1275195,114,335,British and irish fiction (fictional works by one author),Children's fiction,Romance
242,Bridget Jones's Diary,Helen Fielding,3.78,0330332767,1996,257799,292224,221500,65657,33118,870298,7,307,single women,Diary fiction,Romance
243,The Count of Monte Cristo,Alexandre Dumas,4.25,,1996,370988,215808,102050,25341,11885,726072,11,1462,,,Fantasy/Adventure
244,Emma,Jane Austen,4.01,9626340959,1996,234700,222685,124620,31523,14281,627809,21,4,,,Romance
245,Una Cancion de Navidad = A Christmas Carol,Charles Dickens,4.05,0964996901,1996,230648,200873,117085,26946,9237,584789,0,2,Ghost stories,Readers,Biography/Historical
246,Hatchet,Gary Paulsen,3.73,0689808828,1996,88580,95020,73036,26698,14339,297673,30,195,Divorce,plane crash,Adventure
247,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1-5 + short story)",Douglas Adams,4.36,389687070X,1996,159902,77037,30763,8104,3871,279677,3,815,,,Fantasy/Adventure
248,The Illustrated A Brief History of Time,Stephen Hawking,4.17,0553103741,1996,119388,102401,41930,8421,4107,276247,64,256,Espace et temps,Cosmologia,Self-Help
249,The Prophet,Kahlil Gibran,4.23,0394404289,1996,113591,63215,32212,8977,4023,222018,660,96,American Prose poems,Lebanese,Poetry/Novel
250,Sense And Sensibility,Jane Austen,4.07,0140239316,1995,380833,325560,166659,40409,21688,935149,0,384,"Fiction, Romance, Historical, Regency","Inheritance and succession, fiction",Romance
251,The Story of Art,E.H. Gombrich,3.92,071483355X,1995,129602,69239,50841,20786,20358,290826,581,688,"Art, history",Art criticism,Biography/Historical
252,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.16,0002246066,1995,96003,82286,34453,8064,3383,224189,14,374,"Fiction, fantasy, general",Assassins,Fantasy/Adventure
253,Love You Forever,Robert Munsch,4.36,0920668372,1995,125649,34445,19696,7402,7184,194376,4871,32,Juvenile fiction,Children's Books/Baby-Preschool,Humor/Family
254,"20,000 Leagues Under the Sea",Jules Verne,3.89,0812550927,1995,56623,69558,47663,10969,2838,187651,119,320,Children's fiction,"Adventure and adventurers, fiction",Fantasy/Adventure
255,High Fidelity,Nick Hornby,3.94,1573220167,1995,50054,71049,38903,8071,1944,170021,34,323,Sound recordings,Man-woman relationships,Humor/Family
256,Walden (with Ralph Waldo Emerson's Essay on Thoreau),Henry David Thoreau,3.79,046087635X,1995,48292,48860,34689,12928,6459,151228,14,320,Biography,Homes and haunts,Self-Help
257,The Chamber,John Grisham,3.8,0708988431,1995,33599,45463,36358,8033,2215,125668,0,799,alcoholism,loyalty oaths,Suspense/Mystery
258,The Day of the Jackal,Frederick Forsyth,4.26,009955271X,1995,51404,41976,15258,2222,813,111673,60,416,Fiction,Literature,Suspense/Mystery
259,"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,4.11,0312857063,1995,42255,36565,17084,4295,1944,102143,1378,703,Fiction,Richard Rahl (Fictitious character),Fantasy/Adventure
260,The Great Gatsby,F. Scott Fitzgerald,3.92,3425048503,1994,1275872,1207918,764253,242501,107437,3597981,1,136,"Married people, fiction",American fiction (fictional works by one author),Biography/Historical
261,"Slaughterhouse-Five, or The Children's Crusade",Kurt Vonnegut Jr.,4.08,0385312083,1994,460959,368191,182544,53936,28782,1094412,115,205,American science fiction,bombing of Dresden,Biography/Historical
262,The Picture Of Dorian Gray,Oscar Wilde,4.08,0140814388,1994,366305,336927,170118,40418,13766,927534,1,80,Appearance (Philosophy),Fiction,Biography/Historical
263,The Princess Bride,William Goldman,4.26,0345348036,1994,389788,223154,100459,24707,14793,752901,517,398,Castles,Fiction,Fantasy/Adventure
264,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,3.99,,1994,174470,162541,98115,25946,8978,470050,121,368,,,Horror/Thriller
265,The Very Hungry Caterpillar,Eric Carle,4.3,0399226907,1994,215207,86892,51056,14162,8318,375635,262,13,Children's fiction,"Caterpillars, fiction",Humor/Family
266,"Voyager (Outlander, #3)",Diana Gabaldon,4.39,0440217563,1994,133581,76901,27200,3996,1246,242924,401,1059,Literatura norteamericana,Man-woman relationships,Romance
267,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,4.13,0312857055,1994,106916,65459,32210,11345,7896,223826,144,820,Fiction,Wizards,Fantasy/Adventure
268,Sophie's World: A Novel about the History of Philosophy,Jostein Gaarder,3.93,0374266425,1994,66360,67359,40752,12233,4947,191651,33,394,Didactic fiction,Ficción,Self-Help
269,The Exorcist,William Peter Blatty,4.17,0061007226,1994,78581,56232,28179,6155,2878,172025,3096,385,Fiction,Fiction in English,Horror/Thriller
270,Of Mice And Men,John Steinbeck,3.88,0749717106,1993,624569,672324,432943,131679,55168,1916683,13,107,contemporary fiction,literary fiction,Biography/Historical
271,"Frankenstein: Or, the Modern Prometheus 1823 (Revolution & Romanticism 1789-1834)",Mary Wollstonecraft Shelley,3.81,1854771175,1993,344592,393923,284190,88297,35434,1146436,0,280,Frankenstein (Fictitious character),Frankenstein's monster (Fictitious character),Horror/Thriller
272,Jurassic Park,Michael Crichton,4.03,0679430628,1993,299276,277033,153340,36679,16750,783078,4,461,dichogamy,corporate espionage,Fantasy/Adventure
273,Macbeth,William Shakespeare,3.9,,1993,214230,227573,153452,42352,13474,651081,49,96,,,Biography/Historical
274,The Lord of the Rings,J.R.R. Tolkien,4.5,0553472283,1993,353914,127062,43867,11161,5790,541794,3,0,The Lord of the Rings,Fiction,Fantasy/Adventure
275,"Along Came a Spider (Alex Cross, #1)",James Patterson,4.11,0316693642,1993,157386,142642,72015,13473,5764,391280,60,435,Mystery,Police psychologists,Suspense/Mystery
276,James And The Giant Peach,Roald Dahl,4.02,067085302X,1993,139974,131287,80552,16980,6450,375243,1,144,Christian Books,Roald Dahl,Fantasy/Adventure
277,Like Water for Chocolate,Laura Esquivel,3.95,0552995878,1993,112604,111666,66322,17447,9366,317405,5057,222,virginity,magical realism,Romance
278,"Preludes and Nocturnes (The Sandman, #1)",Neil Gaiman,4.24,1417651636,1993,106373,56662,24364,7288,6457,201144,6,233,Dream,Endless,Fantasy/Adventure
279,"Mistress of Magic (The Mists of Avalon, #1)",Marion Zimmer Bradley,4.12,1556908687,1993,84202,58908,31101,9112,4102,187425,4,14,,,Fantasy/Adventure
280,The Grapes of Wrath,John Steinbeck,3.97,0808514202,1992,296056,225447,130278,50209,29851,731841,119,619,Labor camps,Depressions,Biography/Historical
281,Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll,4.06,0440407435,1992,178325,150606,89265,20458,6413,445067,25,448,adventure and adventurers,"adventure and adventurers, fiction",Fantasy/Adventure
282,El Perfume,Patrick Süskind,4.03,0140172912,1992,119397,108295,55207,17023,7453,307375,9,263,"Fiction, suspense","France, fiction",Horror/Thriller
283,The Name of the Rose,Umberto Eco,4.12,0749397055,1992,123443,98425,44784,12695,6001,285348,31,502,Novela de misterio,History,Suspense/Mystery
284,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.25,1881273156,1992,138663,87998,39102,8780,4011,278554,5693,204,Spouses,Love,Self-Help
285,Don Quixote de La Mancha,Miguel de Cervantes Saavedra,3.88,019282726X,1992,69784,64224,47233,15141,5832,202214,3,1120,"Don Quixote (Cervantes Saavedra, Miguel de)",Quotations,Fantasy/Adventure
286,The Prince Of Tides,Pat Conroy,4.24,0553404849,1992,92966,62987,27092,6154,2563,191762,2,672,Brothers and sisters,Fiction,Biography/Historical
287,The Autobiography of Malcolm X: As Told to Alex Haley,Malcolm X,4.32,0345376714,1992,104753,55056,21599,4978,4035,190421,104,527,Mahometanos negros,Black Muslims,Biography/Historical
288,The Plague,Albert Camus,4,0140180206,1992,53694,62739,32419,7609,2061,158522,9,252,Fiction,Plague,Biography/Historical
289,Twelfth Night,William Shakespeare,3.98,,1992,52462,56574,35102,7378,1767,153283,41,101,,,Biography/Historical
290,Madame Bovary,Gustave Flaubert,3.67,0679736360,1991,61149,80612,65297,23138,9335,239531,67,411,literary fiction,French literature,Biography/Historical
291,Go Ask Alice,Beatrice Sparks,3.76,0099416379,1991,72110,71538,58322,20834,9410,232214,31,176,homelessness,bad trips,Biography/Historical
292,"The Dragon Reborn (Wheel of Time, #3)",Robert Jordan,4.25,0312852487,1991,96732,73379,28178,5219,2030,205538,68,596,Fantasy fiction,"Fiction, fantasy, epic",Fantasy/Adventure
293,A Portrait Of The Artist As A Young Man,James Joyce,3.62,1857150090,1991,33034,40719,32085,13418,7562,126818,5,318,Fiction,Artists,Biography/Historical
294,The House On Mango Street,Sandra Cisneros,3.63,1931376344,1991,27695,39977,33040,11403,4866,116981,7,110,,,Biography/Historical
295,A Room of One's Own,Virginia Woolf,4.15,0151787336,1991,47416,40627,17617,4100,1496,111256,37,125,Authorship,Economic conditions,Novel/Feminism
296,"Roll of Thunder, Hear My Cry (Logans, #4)",Mildred D. Taylor,3.83,014034893X,1991,35098,35957,25928,8436,3490,108909,4383,288,Fiction,Juvenile fiction,Historical/Family
297,Stuart Little,E.B. White,3.89,0553455303,1991,36098,34419,27439,7010,1992,106958,18,2,Voyages and travels,Mice,Children's/Humor
298,Midnight's Children,Salman Rushdie,3.98,,1991,39033,33769,18569,6630,3078,101079,218,552,,,Magical Realism/Historical
299,The Witching Hour (Lives of the Mayfair Witches #1),Anne Rice,4.11,,1991,44373,30369,17128,5126,2067,99063,62,965,,,Fantasy/Horror
300,Animal Farm,George Orwell,3.94,0151072558,1990,948231,929513,533492,161830,82731,2655797,80,124,British and irish fiction (fictional works by one author),political satire,Political/Dystopian
301,The Seven Habits of Highly Effective People,Stephen R. Covey,4.11,0671708635,1990,214014,151459,79463,22306,12454,479696,237,368,Success- Psychological aspects,Character,Self-help/Management
302,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.18,0812511816,1990,174301,116835,51099,15168,8653,366056,9747,814,Fantasy fiction,Rand al'Thor (Fictitious character),Fantasy/Adventure
303,Island of the Blue Dolphins,Scott O'Dell,3.84,0395536804,1990,90973,92482,68758,20839,9001,282053,50,192,Fiction,Indians of North America,Historical/Adventure
304,Red Dragon,Thomas  Harris,4.03,0552121606,1990,94376,101659,52042,10104,4630,262811,18,356,Novel,psychiatrists,Thriller/Suspense
305,A Farewell To Arms,Ernest Hemingway,3.81,0736645284,1990,73884,95352,62038,19634,7467,258375,1,9,,,War/Romance
306,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.15,009979800X,1990,104105,89366,40881,8346,3423,246121,16,266,Human-computer interaction,Computers,Science fiction/Adventure
307,The World According to Garp,John Irving,4.08,034536676X,1990,78343,75625,34482,8434,3337,200221,268,609,National Book Award Winner,award:national_book_award=1980,Literary fiction/Humor
308,Around The World In Eighty Days,Jules Verne,3.93,059043053X,1990,54157,71593,45241,8150,1576,180717,6,240,Viajes alrededor del mundo,Translations into Gujarati,Adventure/Travel
309,Walden,Henry David Thoreau,3.78,0399221530,1990,50354,51107,36007,13675,7099,158242,3,32,Nature,Forests and forestry,Philosophy/Nature
310,Catch-22,Joseph Heller,3.98,0440204399,1989,283091,225218,127715,45935,25289,707248,21,463,Open Library Staff Picks,Fiction in English,Satirical/War
311,The Stranger,Albert Camus,3.98,0881032476,1989,238235,238962,132279,37436,14216,661128,394,123,Murder,Fiction,Existential/Philosophical
312,The Pillars of the Earth,Ken Follett,4.32,0930435524,1989,344781,183942,69806,20494,11566,630589,2,30,White Ship,The Anarchy,Historical/Fiction
313,The Colour of Magic,Terry Pratchett,3.99,086140324X,1989,108789,105979,64317,15274,5613,299972,66,205,Discworld (Imaginary place),Fiction,Fantasy/Humor
314,The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.3,0812504240,1989,114494,85339,30583,3974,1443,235833,16,259,Classic Literature,Murder,Mystery/Suspense
315,"Clear and Present Danger (Jack Ryan, #5; Jack Ryan Universe, #6)",Tom Clancy,4.11,0399134409,1989,48046,51141,23657,3446,1206,127496,26,656,"Clark, john (fictitious character), fiction","Ryan, jack (fictitious character), fiction",Thriller/Adventure
316,"This Present Darkness (Darkness Set, #1)",Frank E. Peretti,4.22,1854240021,1989,47753,25292,12202,3755,2491,91493,2,508,Fiction,"Fiction, thrillers, suspense",Horror/Thriller
317,The Red Badge of Courage,Stephen Crane,3.24,0945260342,1989,12142,23643,30244,13881,6608,86518,2,120,Condensed books,Accessible book,Biography/Historical
318,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,4,0446359408,1989,28945,28722,17939,3644,1272,80522,1269,481,Autobiography,"Cas, Études de",Biography/Historical
319,The Book of Ruth,Jane Hamilton,3.85,0385265700,1989,18125,24940,16277,3722,1374,64438,1231,328,Fiction,Mothers and daughters,Family/Humor
320,Secret Garden,Frances Hodgson Burnett,4.13,051763225X,1988,373698,301462,155993,32024,11892,875069,8,288,"Fiction, general","Friendship, fiction",Family/Humor
321,The Metamorphosis,Franz Kafka,3.81,0805204202,1988,181631,209115,137306,45156,21350,594558,2,0,Fantasy fiction,Children's fiction,Suspense/Mystery
322,The Silence of the Lambs,Thomas  Harris,4.2,0312195265,1988,212932,148423,62309,14414,11353,449431,64,338,lambs,black witch moth,Horror/Thriller
323,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,0070212570,1988,122934,93072,36006,5223,1580,258815,170,395,Race relations,Reminiscing in old age,Family/Humor
324,A Room with a View,E.M. Forster,3.91,0553213237,1988,46785,54219,34658,8704,2764,147130,180,204,British,British in fiction,Romance
325,The Witch of Blackbird Pond,Elizabeth George Speare,3.99,0440800749,1988,47058,46846,28087,6377,2511,130879,26,223,,,Adventure/Fantasy
326,Fantastic Mr. Fox,Roald Dahl,4.06,0140328726,1988,39450,35186,21634,4258,1061,101589,45,90,Animals,Hunger,Family/Humor
327,"The Road Less Travelled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,4.06,0712618198,1988,33177,27121,15570,3939,1660,81467,7,320,Self-actualization (Psychology),Interpersonal relations,Self-Help
328,The Bonfire of the Vanities,Tom Wolfe,3.86,0224024396,1988,19535,25585,15504,4450,1550,66624,7,659,Fiction,Traffic accidents,Suspense/Mystery
329,A Raisin In The Sun,Lorraine Hansberry,3.79,0451161378,1988,17740,23536,16931,5065,1438,64710,9,151,Drama,African American families,Family/Humor
330,Adventures of Huckleberry Finn,Mark Twain,3.82,0060467215,1987,343245,391794,284691,84399,31435,1135564,2,366,adventure and adventurers,Adventure stories,Adventure/Fantasy
331,The Secret Garden,Frances Hodgson Burnett,4.14,0681400560,1987,367641,297553,154016,31294,11343,861847,0,272,,,Family/Humor
332,Les Misérables,Victor Hugo,4.17,,1987,310386,189788,96065,28323,16658,641220,10495,1463,,,Romance
333,Green Eggs and Ham,Dr. Seuss,4.3,0394892208,1987,330838,148836,81305,19378,10585,590942,1,64,1960-1988,Dr. Seuss,Family/Humor
334,All Quiet on the Western Front,Erich Maria Remarque,3.97,0449213943,1987,129790,116326,67445,21024,9763,344348,7145,296,"World War, 1914-1918",Fiction,Biography/Historical
335,Blade Runner,Philip K. Dick,4.09,0345323882,1987,116903,132888,59251,11067,2663,322772,5,216,Androids,Fiction,Science Fiction/Thriller
336,Things Fall Apart,Chinua Achebe,3.67,0435905260,1987,67939,99363,74165,26086,10945,278498,18,150,20th century literature,Christianity,Biography/Historical
337,Stranger in a Strange Land,Robert A. Heinlein,3.92,0808520873,1987,104243,82433,52834,19088,11743,270341,3,438,Hugo Award Winner,award:hugo_award=1962,Science Fiction/Adventure
338,Beowulf,Unknown,3.45,0862993377,1987,48639,64657,70102,30808,14487,228693,4,137,Drama,"Epic poetry, English (Old)",Adventure/Fantasy
339,The Velveteen Rabbit,Margery Williams Bianco,4.3,0380002558,1987,114806,59176,29690,6312,3188,213172,2509,40,"Children's stories, American",Conejos,Family/Humor
340,The Catcher in the Rye,J.D. Salinger,3.8,0140012486,1986,895007,811642,555782,225755,133605,2621791,181,220,fictional works,Runaway teenagers,Suspense/Mystery
341,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,0812513495,1986,586228,330094,128231,34224,19190,1097967,173,324,military education,end of the world,Science Fiction/Adventure
342,The Return of the King (The Lord of the Rings #3),J.R.R. Tolkien,4.53,0808520857,1986,427053,161695,51050,9575,3508,652881,11,512,Elves,Hobbits,Adventure/Fantasy
343,Mere Christianity,C.S. Lewis,4.33,0020869401,1986,163740,75169,31789,9049,6771,286518,29,175,Apologetics,Doctrinal Theology,Self-Help
